a	一(個)
August	八月
black	黑色(的)
camp	露營
aunt	伯(叔)母
blackboard	黑板
can	能夠
autumn	秋天
blanket	毯子
candle	蠟燭
away	遠離
blind	瞎的
candy	糖果
able	能夠…的
baby	嬰兒
block	街區
cap	(無邊便)帽
about	關於
back	背後
blow	吹
car	車子
above	在…上方
bad	壞的
blue	藍色(的)
card	卡片
abroad	在國外
badminton	羽毛球
boat	船
care	關心
across	在…對面
bag	袋子
body	身體
careful	仔細的
actress	女演員
bake	烘烤
boil	煮沸
carry	攜帶
afraid	害怕的
bakery	麵包店
book	書
case	情形
after	在…之後
balcony	陽台
bookstore	書店
castle	城堡
afternoon	下午
ball	球
bored	感到厭煩的
cat	貓
again	再一次
banana	香蕉
boring	無聊的
catch	趕上
age	年齡
band	樂團
born	出生
celebrate	慶祝
ago	以前
bank	銀行
borrow	借入
agree	同意
barbecue	烤肉
boss	老板
cent	(一)分錢
ahead	在前方
baseball	棒球
both	兩者都
center	中心
air	空氣
basket	籃子
bottle	瓶子
centimeter	公分
airplane	飛機
basketball	籃球
bottom	底部
chair	椅子
airport	機場
bat	蝙蝠
bow	敬禮
chalk	粉筆
all	全部
bath	洗澡
bowl	碗
chance	機會
almost	幾乎
bathroom	浴室
box	盒子
change	零錢
along	沿著
be	是
boy	男孩
cheap	便宜的
already	已經
beach	海灘
bread	麵包
cheat	欺騙
also	也
bean	豆
break	打破
check	檢查
always	總是
bear	熊
breakfast	早餐
cheer	歡呼
beautiful	美麗的
bridge	橋
cheese	乳酪
America	美國
because	因為
bright	明亮的
chess	西洋棋
American	美國的
become	變成
bring	帶來
chicken	雞肉
and	和
bed	床
brother	兄弟
child	小孩
angry	生氣的
bedroom	臥室
brown	褐色(的)
China	中國
animal	動物
bee	蜜蜂
brush	刷
Chinese	中文
another	另一個
beef	牛肉
bug	小蟲
chocolate	巧克力
answer	回答
before	在…之前
build	建造
choose	選擇
ant	螞蟻
begin	開始
bun	小圓麵包
chopsticks	筷子
any	任何的
behind	在…後面
burn	燃燒
Christmas	聖誕節
anyone	任何人
believe	相信
bus	公車
church	教堂
anything	任何事物
bell	鈴
business	生意
circle	圓圈
apartment	公寓
belong	屬於
businessman	商人
city	城市
appear	出現
below	在…下方
busy	忙碌的
clap	拍手
apple	蘋果
belt	皮帶
but	但是
class	班級
April	四月
bench	長椅
butter	奶油
classmate	同班同學
arm	手臂
beside	在…旁邊
butterfly	蝴蝶
classroom	教室
around	在…四周
between	在…之間
buy	買
clean	打掃
arrive	到達
bike	腳踏車
by	藉著
clear	清楚的
art	美術
big	大的
cage	籠子
clerk	店員
as	與…一樣
bird	鳥
cake	蛋糕
climb	爬
ask	問
birthday	生日
call	打電話
clock	時鐘
at	在
bite	咬
camera	照相機
close	關上
clothes	衣服
desk	書桌
eleven	十一
fifteen	十五
cloudy	多雲的
dictionary	字典
eleventh	第十一
fifteenth	第十五
club	社團
die	死亡
else	其他的
fifth	第五
coat	大衣
different	不同的
fifty	五十
coffee	咖啡
difficult	困難的
end	結束
fight	打架
Coke	可樂
dig	挖掘
engineer	工程師
fill	裝滿
cold	寒冷的
English	英語
finally	最後
collect	收集
dinner	晚餐
enjoy	喜愛
find	找到
color	色彩
dirty	骯髒的
enough	足夠的
fine	很好的
come	來
dish	盤子
enter	進入
finger	手指
comb	梳子
do	做
envelope	信封
finish	完成
comfortable	舒適的
doctor	醫生
eraser	橡皮擦
fire	火
comic	連環畫的
even	前夕
first	第一
common	共同的
dog	狗
even	甚至
fish	魚
computer	電腦
doll	洋娃娃
evening	傍晚
fisherman	漁夫
convenient	方便的
dollar	元
ever	曾經
five	五
cook	煮飯
door	門
every	每一個
fix	修理
cookie	餅乾
dot	點
everyone	每一個人
floor	地板
cool	涼爽的
down	向下
everything	每件事
flower	花朵
copy	抄寫
dozen	一打
example	例子
flute	笛
corner	角落
dragon	龍
excellent	極好的
fly	飛
correct	正確的
draw	畫
except	除了…之外
follow	遵循
cost	價值
drawer	抽屜
excited	感興奮的
food	食物
couch	沙發
dream	做夢
exciting	令人興奮的
foot	腳
count	數
dress	洋裝
excuse	原諒
for	為了
country	鄉村
drink	喝
exercise	運動
foreign	外國的
course	課程
drive	駕駛
expensive	昂貴的
foreigner	外國人
cousin	(表)兄弟姊妹
driver	駕駛者
experience	經驗
forget	忘記
cover	覆蓋
drop	掉落
eye	眼睛
fork	叉子
cow	母牛
drum	鼓
face	臉孔
forty	四十
cowboy	牛仔
dry	乾的
fact	事實
four	四
crazy	瘋狂的
duck	鴨
factory	工廠
fourteen	十四
cross	越過
dumpling	湯圓
fail	失敗
fourteenth	第十四
cry	哭
during	在…期間
fall	秋天
fourth	第四
cup	茶杯
each	每一
family	家庭
fox	狐狸
cut	切
ear	耳朵
famous	有名的
free	空閒的
cute	可愛的
early	早的
fan	迷
dance	跳舞
earth	地球
far	遠的
fresh	新鮮的
dangerous	危險的
east	東方
farm	農田
Friday	星期五
dark	黑暗的
Easter	復活節
farmer	農夫
friend	朋友
date	日期
easy	容易的
fast	快的
friendly	友善的
daughter	女兒
eat	吃
fat	胖的
frisbee	飛盤
day	日子
egg	蛋
father	父親
frog	蛙
dead	死的
eight	八
favorite	最喜愛的
from	從
dear	親愛的
eighteen	十八
February	二月
front	前面
December	十二月
eighth	第八
feed	餵
fruit	水果
decide	決定
eighty	八十
feel	覺得
fry	油炸
delicious	美味的
either	也不
festival	節慶
full	滿的
dentist	牙醫
fever	發燒
fun	樂趣
elephant	大象
few	少數的
funny	好笑的
future	未來
hard	困難的
hurry	趕忙
knowledge	知識
game	比賽
hurt	受傷
koala	無尾熊
garbage	垃圾
hat	帽子
husband	丈夫
lake	湖
garden	花園
hate	討厭
I	我
lamp	燈
gas	瓦斯
have	有
ice	冰
land	土地
gate	大門
he	他
language	語言
get	得到
head	頭
idea	主意
lantern	燈籠
ghost	鬼
headache	頭痛
if	如果
large	大的
giant	巨大的/巨人
health	健康
important	重要的
last	最後的
gift	禮物
healthy	健康的
in	在…裡面
late	晚的
girl	女孩
hear	聽
insect	昆蟲
later	較晚
give	給予
heart	心
laugh	笑
glad	高興的
heat	熱
interest	使感興趣
lawyer	律師
glass	玻璃杯
heavy	重的
interested	感興趣的
lazy	懶惰的
glasses	眼鏡
hello	喂
interesting	有趣的
lead	引導
glove	手套
help	幫忙
interview	訪問
leader	領導者
glue	膠水
helpful	有幫助的
Internet	網路
learn	學習
go	去
hen	母雞
into	到…之內
least	最少
goat	山羊
here	這裡
invite	邀請
leave	離開
good	好的
hey	嘿
island	島嶼
left	左邊
goodbye	再見
hi	嗨
it	它
leg	腿
goose	鵝
hide	隱藏
jacket	夾克
lemon	檸檬
grade	成績
high	高的
January	一月
lend	借出
gram	公克
hike	徒步旅行
jeans	牛仔褲
less	較少的
grandfather	祖父
hill	小山
job	工作
lesson	課
grandmother	祖母
hippo	河馬
jog	慢跑
let	讓
grape	葡萄
history	歷史
join	加入
letter	信
grass	草
hit	打擊
joy	歡樂
lettuce	萵苣
gray	灰色的
hobby	嗜好
juice	果汁
library	圖書館
great	很棒的
hold	拿著
July	七月
lid	蓋子
green	綠色(的)
holiday	假日
jump	跳躍
lie	說謊
ground	地面
home	家
June	六月
life	生活
group	團體
homework	家庭作業
light	燈
grow	種植
honest	誠實的
just	只是
like	喜歡
guava	番石榴
honey	蜂蜜
